questionText,options[0],options[1],options[2],options[3],correctAnswer
We gave _________a meal.,A. at the visitors,B. for the visitors,C. the visitors,D. None of These,C. the visitors
The idiom donkey’s year means  _________?,A. Very Short period,B. Very long period,C. Both,D. None,B. Very long period
I am satisfied ________ his performance.,A. With,B. By,C. On,D. None of These,A. With
idiom of “Smell A Rat” ?,A. To reveal secrets,B. To suspect that something is wrong,C. Talking nonsense,D. To get momentum in a job,B. To suspect that something is wrong
Alice is _______ at the flowers in the garden.,A. Seeing,B. Looking,C. Watching,D. Washing,B. Looking
What is the synonym of Anxiety?,A. to be dipressed,B. Angry,C. worried,D. None of These,C. worried
Select the word which is spelled correctly?,A. pedagogical,B. pediagogical,C. pedagogcial,D. padegogical,A. pedagogical
Synonyme of Garbage is _________?,A. Level,B. Standing,C. Grade,D. Trash,D. Trash
He is ________ home.,A. in,B. by,C. at,D. with,C. at
The shopkeeper sells sweets made ______ pure milk.,A. of,B. by,C. with,D. from,D. from
This chair is made______ wood.,A. with,B. of,C. from,D. by,B. of
Choose the antonym of Birth?,A. Death,B. End,C. Conclusion,D. All of the above,D. All of the above
What is the antonym of Anguish?,A. Delight,B. Polite,C. Hatred,D. All of the above,A. Delight
Choose synonym of Fear?,A. Horror,B. Laughter,C. Smile,D. Judgement,A. Horror
Choose the synonym of Grief ?,A. Happiness,B. Sorrow,C. Love,D. None of these,B. Sorrow
The Government should care _________ the victims of the recent floods.,A. For,B. To,C. After,D. Of,A. For
I can’t even think _______ travelling _______ public bus.,"A. of, by","B. off, to","C. by, in","D. of, to","A. of, by"
I am glad _______ your success.,A. to,B. for,C. of,D. None of these,B. for
Choose the correct meaning of the idiom: ‘A Dark Horse’.,A. A wicked fellow,B. An Unexpected winner,C. A criminal Getting the water dirty,D. None of these,B. An Unexpected winner
We suffered ________ your neglect.,A. From,B. To,C. Of,D. None of These,A. From
The river flows ________ the bridge.,A. Under,B. Along,C. On,D. None of above,A. Under
Do not Jeer ___________ poor,A. on,B. over,C. at,D. none of these,C. at
Choose the correct spelling from the following?,A. Etiquite,B. Etiquette,C. Etikuit,D. None of These,B. Etiquette
She is working  _______ midnight.,A. Since,B. For,C. In,D. On,A. Since
Mr. Jamal asked him a question.,B. He was asked a question to Mr. Jamal.,C. He was asked a question by Mr. Jamal.,D. A question was being asked by Mr. Jamal.,,C. He was asked a question by Mr. Jamal.
"A lion does not eat grass, however hungry he may be.","A. Grass is not eaten by a lion, however hungry he may be.","B. Grass is not being eaten by a lion, however hungry he may be.","C. Grass is eaten not by a lion, however hungry he may be.","D. Grass is being not eaten by a lion, however hungry he may be.","A. Grass is not eaten by a lion, however hungry he may be."
It is your duty to make tea at eleven O’clock.,B. Your are required to make tea at eleven O’clock.,C. You are supposed to make tea at eleven O’clock.,D. Tea is to be made by you at eleven,,C. You are supposed to make tea at eleven O’clock.
Women like men to flatter them?,A. Men are liked by women to flatter them,B. Women like to be flattered by men,C. Women like that men should flatter them,D. Women are liked to be flattered by men,B. Women like to be flattered by men
Antonym of mendacious is__________?,A. veracious,B. release,C. dishonest,D. vigor,A. veracious
Antonym of felicitous is___________?,A. inopportune,B. devout,C. lavish,D. miser,A. inopportune
Synonym of supervene is ___________?,A. follow,B. intervene,C. urgent,D. imply,A. follow
Antonym of parsimony is___________?,A. verbosity,B. facile,C. freeze,D. generosity,D. generosity
Antonym of effluvium is___________?,A. fragrance,B. essential,C. regret,D. manifest,A. fragrance
Antonym of lugubrious is__________?,A. Cheerful,B. Sincere,C. dry,D. dour,A. Cheerful
Antonym of fallacious is___________?,A. Perfect,B. truthful,C. Alarm,D. Land,B. truthful
Synonym of antediluvian is __________?,A. antiquated,B. boorish,C. petty,D. strike,A. antiquated
Synonym of negligent is _________?,A. careless,B. turn,C. decide,D. want,A. careless
Antonym of philistine is__________?,A. Intellectual,B. Novice,C. worst,D. past,A. Intellectual
Antonym of malodorous is ___________?,A. acrid,B. besmirch,C. fragrant,D. confine,C. fragrant
Antonym of heartfelt is___________?,A. Insincere,B. friendly,C. overt,D. humorous,A. Insincere
Synonym of  sacrosanct is __________?,A. Prayer,B. violent,C. sacred,D. Loud,C. sacred
Synonym of  reverie is __________?,A. Daydream,B. Palimpsest,C. Curio,D. None of these,A. Daydream
Synonym of  Sumptuous is ___________?,A. delirious,B. Gorgeous,C. luxurious,D. Hit,C. luxurious
Synonym of  jovial is ________?,A. Merry,B. Dizzy,C. sleepy,D. revolting,A. Merry
Synonym of predict is __________?,A. foretell,B. Prevent,C. Discover,D. None of these,A. foretell
The Alphabets others then (a e i o u) are called ____________?,A. Vowels,B. Consonants,C. Phrase,D. None of these,B. Consonants
synonym of ” Zest” is _____________?,A. disappointed,B. discourage,C. enthusiasm,D. hope,C. enthusiasm
Synonym of ‘Abasement’ is ____________?,A. incurrence,B. taxation,C. humility,D. humiliation,D. humiliation
_______makes the mare go.,A. Gold,B. Silver,C. Money,D. Copper,C. Money
The Romans ______ to Britain in 54 BC.,A. Comed,B. Came,C. Had come,D. None of these,B. Came
One who praise oneself is called __________?,A. Fascist,B. Nazist,C. Narcissist,D. None of These,C. Narcissist
Synonym of Decade is __________?,A. Erra.,B. Period of 10 years.,C. Period,D. Years,B. Period of 10 years.
Synonym of “Acute” is ___________?,A. Not serious,B. Chronic,C. Obtuse,D. Extremely severe,D. Extremely severe
Synonym of “Mutable” is ________?,A. Constant,B. Not changeable,C. Changeable,D. Pleasant,C. Changeable
Synonym of Bashful is ____________?,A. Easily noticed,B. Easily embarrassed,C. Fruitful,D. Annoying,B. Easily embarrassed
Synonym of “Unsullied” is __________?,A. Spoiled,B. Ill-natured,C. Not spoiled,D. Stained,C. Not spoiled
I eat mangoes.,A. Mangoes are ate by me.,B. Mangoes is eaten by me.,C. Mangoes are eaten by me.,D. Mangoes has eaten by me.,C. Mangoes are eaten by me.
The U.N.O is the forlorn hope for world peace . ‘Forlorn hope’ means: ___________?,A. Desperate enterprise,B. False hope,C. Good initative,D. None of these,A. Desperate enterprise
For this act of indifference he will be taken to task by the authority; here taken to task means:,A. Rewarded,B. Tender his resignation,C. Entrusted with an official job.,D. Get an official reprimand,D. Get an official reprimand
Idiomatic phrase ‘a month of Sundays’ means: ___________?,A. no time,B. a long time,C. a special Sunday,D. a short period,B. a long time
"He said to the hotel receptionist, “Can you tell me the tariff of rooms?",A. He asked the hotel receptionist that if he can tell him the tariff of rooms.,B. He asked the hotel receptionist to tell him the tariff of rooms.,C. He enquired the hotel receptionist if he can tell him the tariff of rooms.,D. He asked the hotel receptionist if he could tell him the tariff of rooms.,D. He asked the hotel receptionist if he could tell him the tariff of rooms.
He left you in the _________ when you needed him most.,A. dirt,B. alley,C. lurch,D. field,C. lurch
“Chevon” is the meat of ________?,A. Goat,B. Sheep,C. Pigeon,D. Water buffalo,A. Goat
The meat of calf is called_________?,A. Veal,B. Squab,C. Venison,D. Chevon,A. Veal
The bead of ___________is called “mutton”?,A. Goat,B. Sheep,C. calf,D. Both a and b,B. Sheep
“Deer meat “is also called __________?,A. venison,B. Squab,C. Turkey,D. Veal,A. venison
Not only teacher but students ________ laughing.,A. Was,B. Had been,C. were,D. None of these,C. were
I have not seen you ______ Monday.,A. from,B. Since,C. for,D. None of these,B. Since
"We have got plenty of time for work, We _______ not hurry.",A. May,B. Will,C. Need,D. None of these,C. Need
Antonym of impartial is _____________?,A. hostile,B. biased,C. dislike,D. worried,B. biased
Antonym of WITHDRAW is _____________?,A. reduce,B. need,C. advance,D. want,C. advance
One who talks while sleeping is __________?,A. somniloquy,B. Somniferous,C. Somnambulant,D. None of these,A. somniloquy
A person who chatters meaninglessly is __________?,A. Talkative,B. Loquacious,C. Voluble,D. Garrulous,D. Garrulous
Synonym of Leeway is __________?,A. Freedom,B. Prison,C. Brave,D. Country,A. Freedom
The plural of sheep is __________?,A. sheeps,B. sheepers,C. sheeves,D. sheep,D. sheep
To get on the nerves.,A. To soothe,B. To have an illness,C. To give medicine,D. To irritate,D. To irritate
Synonym of FOMENT is _____________?,A. Incite,B. Ignore,C. Inspire,D. Important,A. Incite
Entertainment’ is related to ‘Television’ in the same way as ‘Warmth’ is related to ‘______,A. Proximity,B. Temperature,C. Woolens,D. Day,C. Woolens
Antonym of GRATUITY is _____________?,A. Annuity,B. Stipend,C. Compensation,D. Disaccout,C. Compensation
Antonym of PEEVISH is _____________?,A. Amiable,B. Unpleasant,C. Snappish,D. Authoritative,A. Amiable
Antonym of BLEMISH is _____________?,A. Adornment,B. Pimple,C. dearth,D. Tarnish,A. Adornment
A summary statement of commemoration for a dead person.,A. Remission,B. Helligfernt,C. Epitaph,D. Samaritan,C. Epitaph
A dramatic performance,A. Appraisal,B. Voluntary,C. Genius,D. Masque,D. Masque
A confusing and difficult problem or question.,A. Conundrum,B. Memories,C. Prodigy,D. Pandemonium,A. Conundrum
A cinema show which is held in the afternoon.,A. Propensity,B. Retaliate,C. Matinee,D. Eternal,C. Matinee
A child with unusual or remarkable talent.,A. shrew,B. Bossy,C. Prodigy,D. linguistic,C. Prodigy
The one who knows many languages?,A. Cosmopolitan,B. Epicure,C. Antiquarian,D. Polyglot,D. Polyglot
The one who is present everywhere?,A. Omnipresent,B. Omnipotent,C. Philanthropist,D. None of the above,A. Omnipresent
The one who acts against religion?,A. Pessimist,B. Heretic,C. Illiterate,D. Atheist,B. Heretic
The ______ for a vaccine could take up to a year.,A. chase,B. pursuit,C. track,D. search,D. search
"Today, banking in a seamless world ______ a distinct reality.",A. Are,B. was,C. Have,D. Is,D. Is
“Play away from the field”.,A. To conduct a game far from home and town.,B. To conduct a game far from home.,C. To have se*ual relationship with someone who is not your usual partner.,D. To have se*ual relationship with someone who is your usual partner.,C. To have se*ual relationship with someone who is not your usual partner.
There were many students ______ all the answers.,A. those knew,B. that knows,C. who knowing,D. who knew,D. who knew
A bed of roses.,A. Many roses,B. Tricky option,C. Difficult option,D. Easy Option,D. Easy Option
To run across means?,A. To look around,B. To meet casually,C. To go from one side to another,D. To ignore,B. To meet casually
"Sara, You should not “Call it a day”.",A. Stop working on something,B. To begin working,C. To delay working,D. To refuse working,A. Stop working on something
She invited all and sundry to the party. “All and Sundry” means: ____________?,A. Everyone,B. Close Friends,C. Many People,D. None of these,A. Everyone
The one who lives on others?,A. Epicure,B. Polygot,C. Parasite,D. Drover,C. Parasite
The phrase “To have your hands full” expresses means:,A. To be a sinner,B. To have too many things to do,C. To have plenty of wealth,D. Something related to fighting,B. To have too many things to do
Every now and then implies means:,A. Often,B. Always,C. Occasionally,D. Every where,C. Occasionally
I take down my notes carefully means:,A. To hide,B. To remove,C. To publish,D. To write down,D. To write down
“fair field and no favor” Idiom means:,A. An equal chance for every one,B. Perfection,C. Indifference in opinion,D. Popularity,A. An equal chance for every one
beat around the bush means:,A. Try to hide in the bush,B. Making excuses,C. To avid talking about what is important.,D. To talk rubbish,C. To avid talking about what is important.
Be poles apart” means:,A. Either of the two poles,B. Having nothing in common,C. Leading position in a race,D. Affect somebody greatly,B. Having nothing in common
The phrase “Be all ears” means:,"A. Having long ears,","B. Listen with interest,","C. Suspect something,",D. Being good listener,"B. Listen with interest,"
see eye to eye means?,A. Disagree,B. Agree,C. Meet,D. Dislike,B. Agree
flogging a dead horse __________?,A. Repeating our request,B. Making him see reason.,C. Beating about the bush.,D. Wasting time in useless effort,D. Wasting time in useless effort
“Feel good” means to;___________?,A. Show goodwill to someone,B. Become happy or confident,C. Know or sense something,D. Move along very carefully,B. Become happy or confident
My sister is bad _____ maths.,A. in,B. with,C. at,D. from,C. at
The jasmine gives ______ it’s fragrance at night.,A. Up,B. At,C. Off,D. In,C. Off
Haven’t you heated _______  your father?,A. Down,B. About,C. On,D. From,D. From
He is down ______ Malaria.,A. With,B. For,C. From,D. In,A. With
his field is not his forte. “forte” means: _________?,A. Range,B. Specialty,C. Drawback,D. None of these,B. Specialty
Bilal is getting __________ the car.,A. Out of,B. Out,C. Out from,D. Out has,A. Out of
When ________ invented?,A. The microwave was,B. Was the microwave,C. Was a microwave,D. Were microwave,B. Was the microwave
The selectors made Babar Azam captain. In this sentence ‘captain’ is ________?,A. Noun,B. Object complement,C. Verb compliment,D. None of these,B. Object complement
Anam is the smartest _______ girls?,A. among others,B. of all others,C. of all,D. of,C. of all
Identify the correct Spellings:,A. Metropolitan,B. Metropoleton,C. Metropulitan,D. None of these,A. Metropolitan
Antonym of “RAUCOUS” is _________?,A. Hoarse,B. Subdued,C. Strident,D. None of these,B. Subdued
“A PIPE DREAM” means ?,A. ‌A pleasant dream,B. A bad dream,C. An impracticable plan,D. None of these,C. An impracticable plan
Synonym of “OFFEND” is _________?,A. Consent,B. Resent,C. Exasperate,D. None of these,C. Exasperate
She has been exempted ______ night duty.,A. with,B. for,C. from,D. None of these,C. from
You are blind ________ your shortcomings.,A. In,B. on,C. to,D. of,C. to
You must adhere _______ your promise.,A. for,B. with,C. to,D. None of these,C. to
The whole nation was ______ the President?,A. after,B. for,C. farther,D. behind,D. behind
Fahad resign form job ______ January?,A. in,B. on,C. at,D. None of these,A. in
A fool dog fell ______ water?,A. into,B. In,C. inside,D. None of these,A. into
Synonym of “Debacle” ____________?,A. Disaster,B. Success,C. Triumph,D. None of these,A. Disaster
Synonym of “Illicit” ____________?,A. Illegal,B. Improper,C. prohibited,D. All of these,D. All of these
We trust _____ one God,A. on,B. In,C. At,D. None of these,B. In
I am just a girl ______ a little rock.,A. From,B. With,C. Along,D. None of these,A. From
Synonym of “Hostile” ____________?,A. Frantic,B. Friendly,C. Unfriendly,D. None of these,C. Unfriendly
Hydrogen gas can be used _______ a fuel?,A. For,B. As,C. of,D. None of these,B. As
Police said they found thirty bodies _______ the wreckage?,A. In,B. between,C. among,D. under,A. In
Synonym of ” Intrepid ” ________ ?,A. Knave,B. Brave,C. Afraid,D. None of these,B. Brave
Synonym of ” Weighty ” is ________ ?,A. Very important,B. Fake,C. Skillful,D. Quality,A. Very important
Synonym of ” Probity ” is ________ ?,A. Dishonest,B. Honesty,C. Senseless,D. Stupid,B. Honesty
Synonym of TACITURN  is ________ ?,A. Silent,B. Communicative,C. Talky,D. None of these,A. Silent
Identify the correct Spellings:,A. Temparary,B. Temperary,C. Temporary,D. Temprary,C. Temporary
Antonym of perilous is:__________?,A. Safe,B. Attract,C. Draw,D. Lure,A. Safe
Creativity allows language __________ accommodate new meanings and messages:,A. to,B. on,C. with,D. in,A. to
Which spelling is correct?,A. Encyclopedia,B. Encyeklopedia,C. Ensyclopedia,D. Encycloopedia,A. Encyclopedia
Select the most appropriate synonym of “Contrite”?,A. Intrigue,B. Remorse,C. Widely Important,D. Defiant,B. Remorse
Select the most appropriate synonym of the word “Probity”?,A. Very brave,B. Intelligent,C. Complete honesty,D. Untrustworthy,C. Complete honesty
A group of Buffaloes is called?,A. Pack,B. School,C. Gang,D. Team,C. Gang
A group of Assess is called_________?,A. Pace,B. Gang,C. Colony,D. Flock,A. Pace
A group of Apes is called?,A. Pod,B. Herd,C. Shrewdness,D. Drove,C. Shrewdness
______ dangerously a person lives _____ chances of his deaths in young age.,A. the more/the more,B. the most/the more,C. the most/ the most,D. None of these,A. the more/the more
Yeoman`s Services means: ___________?,A. Free services,B. Help in need,C. Govt services,D. None of these,B. Help in need
Which spelling is correct?,A. Knowladge,B. Knowlidge,C. Knowledge,D. Knwoledge,C. Knowledge
Find two number whose sum is 28 and the difference is 4 _____________?,"A.  12,16","B.  18,10","C.  15,13","D.  14,12","A.  12,16"
The idiom ” Pass the buck” means?,A. keep something in hand,B. To evade responsibility,C. To Warn,D. Come to know someone’s secrets,B. To evade responsibility
Antonym of FOIBLE is_________?,A. Feasible,B. Luxurious,C. Forte,D. Powerful,C. Forte
Antonym of ACRIMONIOUS is __________?,A. Acid,B. Bitter,C. Soothing,D. Enervate,C. Soothing
Select the word which is spelled correctly?,A. Happened,B. Hapened,C. Happend,D. Hapend,A. Happened
Select the word which is spelled correctly?,A. Fanaticism,B. Panaticism,C. Fanaticisim,D. Panaticisim,A. Fanaticism
Select the most appropriate synonym of the word “Emaciated”?,A. Very thin,B. Over nourished,C. Chubby,D. Lucky Person,A. Very thin
Select the most appropriate synonym of the word “Paramount”?,A. Most important,B. Less Important,C. Have no Value,D. Majority,A. Most important
Select the most appropriate synonym of the word ” Netizen”?,A. A person who use internet,B. A person who use laptop,C. A person who use Mobile,D. A Person who use DLSR,A. A person who use internet
Select the most Appropriate synonym of the word “Enigma”?,A. Mystery,B. Clearness,C. Tricky,D. Impossible,A. Mystery
Choose the word that is spelled correctly?,A. bureaucracy,B. bereaucracy,C. buraucracy,D. berocracy,A. bureaucracy
Choose the word that is spelled correctly?,A. Technocrats,B. Technocrates,C. Technnocrates,D. Technocrattes,A. Technocrats
Choose the word that is spelled correctly?,A. Allegedly,B. Allegedely,C. Alegedly,D. Allegedley,A. Allegedly
Choose the word that is spelled correctly?,A. Magistrate,B. Magisterate,C. Magistarate,D. Maggistrate,A. Magistrate
Choose the word that is spelled correctly?,A. Pronunciation,B. Pronounciation,C. Pronnounciation,D. Pronunnciation,A. Pronunciation
Choose the word that is spelled correctly?,A. Parliamentarian,B. Parlementarian,C. Parlementerian,D. Parliamenterian,A. Parliamentarian
Choose the word that is spelled correctly?,A. Anniversary,B. Aniverssary,C. Aniversary,D. Anniversarry,A. Anniversary
Choose the word that is spelled correctly?,A. Lieutenant,B. Lietenant,C. Lieutenent,D. Lieutenent,A. Lieutenant
Choose the word that is spelled Correctly?,A. Apprenticeship,B. Aprenticeship,C. Apprentiseship,D. Apperenticeship,A. Apprenticeship
Choose the word that is spelled correctly?,A. Entrepreneurship,B. Enterprenurship,C. Enterpreneaurship,D. Interpreneurship,A. Entrepreneurship
Choose the Word that is spelled Correctly?,A. Brigadier,B. Brigedier,C. Bregadeir,D. Bragedier,A. Brigadier
Choose the word that is spelled Correctly?,A. Secretary,B. Secertary,C. Secartary,D. None of these,A. Secretary
Identify the most Appropriate Synonym of “Uncharitable”?,A. Unfair,B. Not Friendly,C. Not Obvious,D. None,A. Unfair
Pen : Pencil : Ink,A. Orange : Banana : Juice,B. Table : Chair : Wood,C. Cow : Milk : Curd,D. Fish : Shark : Water,A. Orange : Banana : Juice
Detect analogy :  Judo : Karate : Taekwando,A. They are names of martial arts.,B. They can be performed by obese persons.,C. They are performed on stage.,D. They are important items of Asian Games.,A. They are names of martial arts.
Choose similar word:  Sitar : Guitar : Tanpura,A. Trumpet,B. Violin,C. Harmonium,D. Mridanga,B. Violin
Choose analogous pair:  Shrub : Prune,A. Beard : Shave,B. Hair : Trim,C. Lawn : Mow,D. Wool : Shear,B. Hair : Trim
Choose analogous pair:  Interrupt : Speak,A. Shout : Yell,B. Intrude : Enter,C. Concede : Defend,D. Interfere : Assist,D. Interfere : Assist
Choose analogous pair:  Chalk : Blackboard,A. Type : Paint,B. Table : Chair,C. Ink : Paper,D. Door : Handle,C. Ink : Paper
Cattle : Herd :: Sheep : ____________?,A. Flock,B. Swarm,C. Crowd,D. Shoal,A. Flock
Doctor : Nurse :: ____________ : Follower,A. Employer,B. Leader,C. Worker,D. Manager,B. Leader
Vigilant : Alert : : Viable : ___________?,A. Active,B. Gentle,C. Hopeless,D. Feasible,D. Feasible
Bombay : Maharashtra : : Trivandrum : __________ ?,A. Calcutta,B. Gujarat,C. Rajasthan,D. Kerala,D. Kerala
Newspaper : Press : : Cloth : ___________ ?,A. Tailor,B. Textile,C. Fibre,D. Factory,E. Mill
Music : Guiter : Performer,A. Dance : Tune : Instrument,B. Food : Recipe : Cook,C. Patient : Medicine : Doctor,D. Trick : Rope : Acrobat,D. Trick : Rope : Acrobat
Love : Adoration : Infatuation,A. Smile : Frown : Anger,B. Hates : Dislike : Attract,C. Murder : Stab : Assassinate,D. None of these,C. Murder : Stab : Assassinate
Morning : Evening : Dusk,A. Triangle : Quadrilateral : Pentagon,B. Happy : Gay : Excited,C. Summer : Winter : Autumn,D. Botany : Zoology : Physiology,C. Summer : Winter : Autumn
France : Spain : Germany,A. Japan : China : Turkey,B. Sri Lanka : Japan : India,C. Iraq : Kuwait : Iran,D. Canada : California : Mexico,C. Iraq : Kuwait : Iran
Pink : Red : White,A. Orange : Yellow : Black,B. Green : Blue : Yellow,C. Yellow : Red : Green,D. Brown : Black : Blue,B. Green : Blue : Yellow
Hair : Brush : Wig,A. Iron : Hammer : Axe,B. Bread : Butter : Milk,C. Cement : Brick : Building,D. Paper : Pen : Pencil,A. Iron : Hammer : Axe
Studio : Bombay : Stars,A. Ship : Madras : Harbour,B. Oranges : Nagpur : Juice,C. Parliament : Delhi : Ministers,D. Sunrise : Darjeeling : Sherpas,C. Parliament : Delhi : Ministers
Smile : Laugh : Cry,A. Sit : Sleep : Paly,B. Frown : Anger : Temper,C. Morning : Night : Day,D. Touch : Catch : Release,D. Touch : Catch : Release
Hand : Wrist : Bangle,A. Foot : Ankle : Anklet,B. Toe : Foot : Knee,C. Neck : Head : Collar,D. Foot : Socks : Toes,A. Foot : Ankle : Anklet
Researcher : Historian : Scholar,A. Epic : Novel : Book,B. Teacher : Graduate : Poet,C. Teacher : Professor : Lecturer,D. History : Story : Book,A. Epic : Novel : Book
Ink : Pen : Paper,A. Watch : Dial : Strap,B. Book : Paper : Words,C. Farmer : Plough : Field,D. Colour : Brush : Canvas,D. Colour : Brush : Canvas
Horse : Pony : mare,A. Sheep : Lamb : Goat,B. Lion : Cub : Den,C. Man : Child : Woman,D. Cat : Kitten : Puppy,C. Man : Child : Woman
Lizard : Reptile : Insects,A. Fox : Wolf : Forest,B. Fly : Insect : Bee,C. Man : Omnivorous : Meat,D. Tiger : Mammal : Deer,D. Tiger : Mammal : Deer
Picture : Clock : Wall,A. Pillow : Quilt : Bed,B. Pen : Pencil : Colour,C. Flowers : Garden : Park,D. Footpath : Road : Highway,A. Pillow : Quilt : Bed
Village : City : Suburb,A. Puppy : Dog : Bitch,B. School : College : University,C. Continent : Country : State,D. Transister : Radio : Television,B. School : College : University
Hunt : Pleasure : Panic,A. Death : Disease : Germs,B. Game : Match : Win,C. Theft : Gain : Loss,D. Rain : Cloud : Flood,C. Theft : Gain : Loss
Chair : Door : Stick,A. Tomato : Potato : Brinjal,B. Manson : Carpenter : Cobbler,C. Statue : Brick : Pitcher,D. Book : Pen : Notebook,C. Statue : Brick : Pitcher
Dog : Squirrel : Tail,A. Cottage : Hut : Palace,B. Fish : Crocodile : Water,C. Horse : Ox : Horn,D. Trunck : Scooter : Gear,D. Trunck : Scooter : Gear
Evaporation : Clound : Rain,A. Sneezing : Cough : Cold,B. Accident : Injury : Pain,C. Tanning : Leather : Purse,D. Bud : Flower : Fragrance,B. Accident : Injury : Pain
Carnivorous : Tiger : Wolf,A. Mango : Banana : Fruit,B. Worker : Master : Manager,C. Cat : Cow : Milk,D. Student : Boy : Girl,D. Student : Boy : Girl
Magazine : Story : Article,A. Tea : Milk : Sugar,B. Television : Newspaper : Entertainment,C. Bed : Quilt : Pillow,D. Novel : Drama : Literature,A. Tea : Milk : Sugar
Detect analogy :  Vote : Ballet : Poll,A. Election,B. Nomination,C. Selection,D. Participation,A. Election
Detect analogy :  Bantus : Khasis : Maoris,A. Tribal groups,B. Herdsmen,C. Pasture lands,D. Mountaineers,A. Tribal groups
Detect analogy :  Newspaper : Hoarding : Television,A. Press,B. Media,C. Broadcast,D. Rumour,B. Media
Detect analogy :  Chucker : Mallet : Bunder,A. Sports,B. Soils,C. Snooker,D. Polo,B. Soils
Detect analogy :  Monsoon : Chinook : Dalmatian,A. Rains,B. Seasons,C. Winds,D. Currents,D. Currents
Detect analogy :  Shin : Instep : Calf,A. Leg parts,B. Animal flesh,C. Young ones,D. Meat,A. Leg parts
Detect analogy :  Kyat : Yuan : Rial,A. Nationalities,B. Capitals,C. Currencies,D. Parliaments,C. Currencies
Detect analogy :  Hat : Coat : Trousers,A. Dress,B. Tailor,C. Shirt,D. Gentleman,C. Shirt
Detect analogy :  Cub : Calf : Kitten,A. Progeny,B. Cow,C. Attractive,D. Harmless,B. Cow
Detect analogy :  Forgery : Fabrication : Counterfeit,A. Smuggling,B. Deceit,C. Falsity,D. Designed,A. Smuggling
Detect analogy :  Fly : Bee : Ant,A. Cockriach,B. Spider,C. Termite,D. Insect,C. Termite
Detect analogy :  Graphite : Diamond : Coke,A. Allotropes,B. Abrasives,C. Electrodes,D. Fuels,D. Fuels
Detect analogy :  Giggle : Titter : Guffaw,A. Happiness,B. Joy,C. Laugh,D. Merriment,D. Merriment
Detect analogy :  Colorado : Seine : Volga,A. Ports,B. Rivers,C. Lakes,D. Harbors,C. Lakes
Detect analogy :  Coal : Iron : Mica,A. Gold,B. Rock,C. Earth,D. Minerals,B. Rock
Detect analogy :  Wasp : Cricket : Beetle,A. Insects,B. Pathogens,C. Microbes,D. Pesticides,A. Insects
Detect analogy :  Lion : Tiger : Leopard,A. herbivorous,B. Carnivorous,C. Zoo,D. Circus,B. Carnivorous
Detect analogy :  Gram : Grain : Pround,A. Currency,B. Commodities,C. Cereals,D. Weight,D. Weight
Detect analogy :  Kerosene : Petrol : Diesel,A. Firewood,B. Engine,C. Fuel,D. Coal,C. Fuel
Detect analogy :  Couplet : Sonnet : Limerick,A. Prose,B. Songs,C. Lyrics,D. Poetry,D. Poetry
Detect analogy :  Paradeep : Haldia : Kandla,A. Industrial centres,B. Ships,C. Port towns,D. Coastal cities,C. Port towns
Detect analogy :  Stool : Table : Chair,A. Office,B. Carpet,C. Bench,D. Furniture,D. Furniture
Detect analogy :  Griundnuts : Seasame : Mustard,A. Cereals,B. Legumes,C. Leafy vegetables,D. Oil seeds,D. Oil seeds
Detect analogy :  Volleyball : Hockey : Football,A. Athletes,B. Games,C. Baseball,D. Aquatics,B. Games
Detect analogy :  Rockies : Appalachian : Andes,A. Ranges,B. Slopes,C. Peaks,D. Hills,A. Ranges
Detect analogy :  Mercury : Sature : Pluto,A. Mers,B. Earth,C. Planets,D. Jupiter,C. Planets
Detect analogy :  Yeats : Ghalib : Kabir,A. Reformers,B. Poets,C. Saints,D. Leaders,B. Poets
Detect analogy :  Wheat : Barley : Rice,A. Food,B. Agriculture,C. Grams,D. Cereals,D. Cereals
Detect analogy :  Stirrup : Anvil : Drum,A. The items are used by riders.,B. They are parts of ear.,C. They are musical instruments.,D. They are used by folk artists.,B. They are parts of ear.
Detect analogy :  Factotum : Maid : Butler,A. They are employed in restaurants.,B. They are persons who look after children.,C. They are different types of servants.,D. They are members of the household.,C. They are different types of servants.
Detect analogy :  Voodoo : Sorcery : Necromancy,A. They are ancient arts found in sculptures.,B. They are terms connected with black magic.,C. They are ancient scripts.,D. They are means of communication of pre-historic age.,B. They are terms connected with black magic.
Detect analogy :  Ulna : Pelvis : Tibia,A. They are muscles.,B. They are organs of unitary system.,C. They are technical names for blood groups.,D. They are bones.,D. They are bones.
Detect analogy :  Supernova : Protostar : Red Giant,A. These are kinds of stars.,B. These are members of galaxies.,C. These are stages in the life of a star.,D. These move about the sun.,C. These are stages in the life of a star.
Detect analogy :  Alberta : Ontario : Quebec,A. These are cities on rivers.,B. These are tourist places.,C. These are Canadian state.,D. These have fine harbours.,A. These are cities on rivers.
Detect analogy :  Rourkela : Bokaro : Durgapur,A. They have steel plants.,B. They have coal mines.,C. They have atomic power plants.,D. They have the best technical colleges.,A. They have steel plants.
Detect analogy :  Species : Genera : Family,A. These are biological terms.,B. These give information about living things for classification.,C. These are traits of animal kingdom.,D. These are groups of animals.,B. These give information about living things for classification.
Detect analogy :  Kennedy : Indira : Palme,A. They were Presidents.,B. They were Prime Ministers.,C. They were very popular among children.,D. All of them were assassinated.,D. All of them were assassinated.
