questionText,options[0],options[1],options[2],options[3],correctAnswer
Armughan i Hijaz was written by ________?,A. Allama Iqbal,B. Abul ala maudoodi,C. Mir Aman Delhvi,D. Sir syed ahmed khan,A. Allama Iqbal
“Hispaniola” is the old name of ______?,A. Iran,B. Cuba,C. Fiji,D. Haiti,D. Haiti
Salisbury Is the old name of ______?,A. Hebridges,B. Petrograd,C. Harare,D. None of them,C. Harare
"The Temple of the Tooth, which holds a sacred relic that is said to be the tooth of Buddha, is in______?","A. Kandy, Sri Lanka","B. Jaffna, Sri Lanka","C. Colombo, Sri Lanka","D. Galle , Sri Lanka","A. Kandy, Sri Lanka"
"Hadrian’s Wall, which extends across northem England, was built on the order of the Roman Emperor Hadrian in______?",A. 122 CE,B. 120 CE,C. 125 CE,D. 127 CE,A. 122 CE
Topkapi Palace is one of the most famous sites in_________?,A. Florence,B. Istanbul,C. Gland,D. Astana,B. Istanbul
Which is the capital of maldives?,A. Maye,B. Male,C. Washington,D. Mald,B. Male
Name of Japan’s bicameral legislature (Parliament) is __________?,A. P Democratic party,B. National Diet,C. National federation,D. None of these,B. National Diet
Mr bean (Rowan Atkinson) Belongs to ________?,A. Russia,B. London,C. US,D. England,D. England
"The first intelligible words to be ever recorded on a telephone on March 10, 1876, were?",A. Hello,B. Hi,"C. Mr Watson, come here. I want to see you.",D. Graham Bell is speaking,"C. Mr Watson, come here. I want to see you."
The longest primate animal in the world is________?,A. Gorilla,B. Giraffe,C. Kangaroo,D. None of these,A. Gorilla
Maya beach is located in which country?,A. Indonesia,B. Thailand,C. Malaysia,D. Russia,B. Thailand
Who has the longest reign among following?,A. Angela Merkel,B. Barack Obama,C. President Putin,D. Narendra Modi,A. Angela Merkel
How many times the National Flag of Aganistan has been changed in last 100 years?,A. 10,B. 13,C. 15,D. 18,D. 18
Which of the following countries is closest in size to Sri Lanka?,A. Qatar,B. Rwanda,C. Iceland,D. Laos,C. Iceland
What continent is home to all the world’s countries that begin with “Z”?,A. South America,B. Africa,C. Asia,D. Europe,B. Africa
Zacatecas is a state located in which country?,A. Canada,B. Mexico,C. Brazil,D. Jamaica,B. Mexico
Madagascar is off the coast of which country?,A. South Africa,B. Mozambique,C. Tanzania,D. Kenya,B. Mozambique
Which of the following country is called enclave?,A. Kosovo,B. Liechtenstein,C. Slovakia,D. San Marino,D. San Marino
Which if the following countries is closest in size to Pakistan?,A. Congo,B. Paraguay,C. Turkey,D. Chile,C. Turkey
Cape Agulhas is where the two oceans meet?,A. Atlantic and Indian,B. Indian and Pacific,C. Atlantic and Arctic,D. Pacific and Atlantic,A. Atlantic and Indian
Whose face was first uploaded on Facebook?,A. Al Pacino,B. Zuckerberg,C. Adam smith,D. Shahid Chudhary,A. Al Pacino
Disappointment island is in which country?,A. New Zealand,B. England,C. India,D. None of these,A. New Zealand
Who Was the First Woman to run for President of the United States?,A. Hillary Clinton,B. Margaret Chase Smith,C. Victoria Woodhull,D. Patsy Mink,C. Victoria Woodhull
The president of USA ____ asked British Government to divide India into two parts namely Muslim India and Hindu India?,A. Woodrow Wilson,B. F.D Roosevelt,C. both,D. None of these,B. F.D Roosevelt
Degrees on a map are divided into 60 equal parts. What are these parts called?,A. Days,B. Seconds,C. Minutes,D. Hours,C. Minutes
Which of the following countries is an archipelago located in the Indian Ocean?,A. Vanuatu,B. Maldives,C. Jamaica,D. Kiribati,B. Maldives
The total area of the earth is _______ Greater than the area of US.,A. 10 times,B. 20 times,C. 29 times,D. 52 times,D. 52 times
The new name of Facebook is __________?,A. Meta,B. Beta,C. Delta,D. Face point,A. Meta
A Doll’s House is written by _________?,A. Kk Aziz,B. Mixim Gorky,C. Ibsen,D. Adam Dente,C. Ibsen
Strait connecting the Black sea and the Sea of Azov is ________?,A. Palk Strait,B. Kerch Strait,C. Bosphorous Strait,D. Dardenals Strait,B. Kerch Strait
The Masoleum of Halicarnassus is located in which country?,A. Turkey,B. China,C. Greece,D. Egypt,A. Turkey
Which city is nicknamed as “Bat City” ?,"A. Casper, Wyoming","B. Pottstown, Pennsylvania","C. Red Wing, Minnesota","D. Austin, Texas","D. Austin, Texas"
The famous incident of Boston Tea Party took place in _________?,A. 1770,B. 1765,C. 1773,D. None of these,C. 1773
Mount Fuji is located in which country?,A. Japan,B. England,C. France,D. Canada,A. Japan
Anastasian Wall is located in which country?,A. England,B. Ukraine,C. Turkey,D. Spain,C. Turkey
The first successful expedition to the Mount Everest was made in__________?,A. 1962,B. 1965,C. 1968,D. 1953,D. 1953
Who wrote the book ‘India Wins Freedom’ ?,A. Allama iqbal,B. Molana Abdul Kalam Azad,C. Sikandar mirza,D. None of these,B. Molana Abdul Kalam Azad
OIC stands for __________?,A. Organization of Islamic Conference,B. Organization of Islamic Committee,C. Organization of Islamic Cell,D. Organization of Islamic Cooperation,D. Organization of Islamic Cooperation
In which city the United Nations was created?,A. Shanghai,B. San Francisco,C. Charlottetown,D. New York,B. San Francisco
Which is the main industrial activity in Tanzania?,A. Cloves export,B. Mining,C. Oil based,D. Sugar/coconut based,B. Mining
China Times is the official newspaper for which country?,A. Russia,B. Taiwan,C. China,D. Georgia,B. Taiwan
Cancun is a famous city of country?,A. Spain,B. Italy,C. USA,D. Mexico,D. Mexico
Bali is famous tourist resort of___________?,A. Malaysia,B. Indonesia,C. Australia,D. None of these,B. Indonesia
Which country is called “Land of direct democracy”?,A. India,B. Germany,C. USA,D. Switzerland,D. Switzerland
Which countries flag has red circle on green background?,A. Malaysia,B. Bangladesh,C. Indonesia,D. Taiwan,B. Bangladesh
On which country national flag there is an eagle and a snake?,A. Mexico,B. Germany,C. Austria,D. Peru,A. Mexico
Which British explorer was the first European  to see the Victoria Falls?,A. john hanning speke,B. David Livingstone,C. james cook,D. None of these,B. David Livingstone
Name the first Astronaut to walk in space in 1965. He remained in space for 20 minutes.,A. Neil Armstrong,B. Alexei Leonov,C. Yuri Gagarin,D. None of these,B. Alexei Leonov
"Name the first Muslim who travelled in space from April 29 to May 6,1985?",A. Sheikh khalid ul waleed,B. Sheikh Bokhtar,C. Prince karim sulman,D. Prince Sultan bin Salman Al Saud,D. Prince Sultan bin Salman Al Saud
World’s first commercial communication satellite was launched in 1965. Its name was,A. Tiros I,B. Early Bird,C. Soyuz I,D. None of these,B. Early Bird
In the Muslim World which country has the highest per capita income?,A. Kuwait,B. UAE,C. Qatar,D. Oman,C. Qatar
Name the bird which is fastest and can attain speed of 200km?,A. Eagle,B. Indian Swift,C. Condor,D. Falcon,D. Falcon
How many Times has Brazil won the world cup football championship?,A. Five Times,B. Three Times,C. Four Times,D. Two Times,A. Five Times
Where is the Devils Tower located ?,A. Japan,B. America,C. China,D. Russia,B. America
Great Mosque of Cordoba is located in which country ?,A. Iran,B. Turkey,C. Spain,D. Brazil,C. Spain
Valley of the Kings is located in which country ?,A. Turkey,B. Algeria,C. Hungary,D. Egypt,D. Egypt
International Space Station ( ISS) was launched in which year ?,A. 1997,B. 1998,C. 1999,D. 2000,B. 1998
Who did the USA buy the Virgin Islands from?,A. Denmark,B. France,C. Italy,D. Russia,A. Denmark
Toward Freedom 1936 is the autobiography of  which personality?,A. Jawaharlal Nehru,B. Molana Abul Kalam Azad,C. Quaid e Azam,D. None of these,A. Jawaharlal Nehru
Who was the first Governor General of India?,A. Warren Hastings,B. William Bentick,C. Lord Delhousie,D. Lord Canning,B. William Bentick
How many cantons (sovereign states) are there in Switzerland _______?,A. 10 cantons,B. 15 cantons,C. 26 cantons,D. None of these,C. 26 cantons
A place where pigs are kept is called _______?,A. Cellar,B. Sty,C. Brewery,D. None of Above,B. Sty
In reference to Pacific Ocean – what is the meaning of Pacific?,A. Very large,B. Peaceful,C. Never before,D. Dangerous,B. Peaceful
Which among the following is popular as Windy City?,A. Venice,B. Chicago,C. New York,D. Tokyo,B. Chicago
The term ‘hook pass’ is related to _________?,A. Football,B. Badminton,C. Basketball,D. Boxing,C. Basketball
OSS is the old name CIA which established in__________?,A. 1941,B. 1942,C. 1943,D. 1944,B. 1942
Who gifted the Statue of liberty of New York?,A. Germany,B. England,C. France,D. Spain,C. France
Which among the following is popular as Hermit Kingdom?,A. Korea,B. Japan,C. Taiwan,D. Borneo,A. Korea
Dirham is the currency of which country?,A. UAE,B. Malaysia,C. Morocco,D. Both A & C,D. Both A & C
The Largest Coffee growing country in the world is _____________?,A. India and Sri Lanka,B. Sri Lanka,C. Brazil,D. None of these,C. Brazil
Which Country is known as the Roof of the World ________?,A. Africa,B. Tibet,C. North America,D. None of these,B. Tibet
The currency of Ethiopia is_________?,A. Dobra,B. Dong,C. Birr,D. Rand,C. Birr
Which is the longest river of Afghanistan?,A. Kabul River,B. Kunar River,C. Amu River,D. Helmand River,D. Helmand River
Skorga waterfall is located in which country?,A. USA,B. Brazil,C. Norway,D. Uk,C. Norway
Vinnufallet waterfall is located in which country?,A. Italy,B. Australia,C. Norway,D. Brazil,C. Norway
Yumbilla Falls is located in which country?,A. Argentina,B. Peru,C. Brazil,D. Norway,B. Peru
When is world Rabies Day 2021 observed?,A. 23rd September,B. 26th September,C. 28th September,D. 30th September,C. 28th September
Who was A.O. Hume?,A. Retired member of civil service,B. Governor- General of India,C. Viceroy of India,D. Member of British Parliament,A. Retired member of civil service
What is the duration at the poles?,A. 3 months,B. 6 months,C. 9 months,D. 12 months,B. 6 months
Which country of Europe is famous for dairy industry?,A. Sweden,B. Norway,C. Denmark,D. Switzerland,C. Denmark
Which name is mentioned in every book of Allama Iqbal?,A. Mathew Arnold,B. William Wordsworth,C. Rumi,D. Goethe,C. Rumi
The International Day of Peace is observed annually on_______?,A. 20 Sept,B. 21 Sept,C. 22 Sept,D. 23 Sept,B. 21 Sept
The Most Polluted Country in the World is________?,A. India,B. Pakistan,C. Bangladesh,D. Afghanistan,C. Bangladesh
suez canal is owned by________?,A. Syria,B. turkey,C. Egypt,D. None of these,C. Egypt
Indian city Mumbai consists of how many islands?,A. Five islands,B. Six islands,C. Seven islands,D. Ten islands,C. Seven islands
Capital of Germany is __________?,A. Nairobi,B. London,C. Paris,D. Berlin,D. Berlin
Where is river Thames?,A. England,B. Thailand,C. Germany,D. Russia,A. England
Who is the first purchaser of Pak-China made JF-17 Air craft?,A. Bangladesh,B. Myanmar,C. South Korea,D. Italy,B. Myanmar
Term of the President of UN General Assembly is ___________?,A. 1 Year,B. 2 Years,C. 5 Years,D. None of these,A. 1 Year
16th century built Kharphocho Fort is located in___________?,A. Kot Digi,B. Taxila,C. Swat,D. Skardu,D. Skardu
"Height of Broad Peak, 12th highest mountain in the world is________?",A. 8047 m,B. 8125 m,C. 8611 m,D. None of these,A. 8047 m
Japan captured Manchuria in________?,A. 1931,B. 1929,C. 1930,D. None of these,A. 1931
Jaisalmer is a city in_____________?,A. Turkey,B. Egypt,C. India,D. Iraq,C. India
Which of the following is the largest mosque in the world?,"A. Imam Ali Mosque, Iraq","B. Great Mosque of Mecca, Saudi Arabia","C. Al-Masjid an-Nabawi , Saudi Arabia","D. Faisal Mosque, Pakistan","B. Great Mosque of Mecca, Saudi Arabia"
The first frisbee was made in __________?,A. 1957,B. 1958,C. 1959,D. None of these,A. 1957
Who is considered one of the greatest investors in the world?,A. Bill Gates,B. Elon Musk,C. Warren Buffet,D. None of the Above,C. Warren Buffet
"At the time of invasion of Afghanistan after 9/11 attacks, who was the president of US?",A. Bill Clinton,B. George W. Bush,C. Barrack Obama,D. None of these,B. George W. Bush
Who is the Current Supreme Leader of Taliban in Afghanistan?,A. Mullah Abdul Ghani Bardar,B. Mullah Haibat Ullah Akhunzada,C. Mullah Abdul Hakim,D. Siraj Uddin Haqqani,B. Mullah Haibat Ullah Akhunzada
The Ramon Magsaysay Award is awarded to honour people and groups tackling ?,A. Education Problems,B. Poverty Problems,C. Development Problems,D. None of these,C. Development Problems
The Ramon Magsaysay Award — named after a Filipino president killed in a plane crash — was established in________?,A. 1957,B. 1960,C. 1967,D. None of these,A. 1957
When was International Dog Day 2021 observed?,A. August 24th,B. August 25th,C. August 26th,D. August 27th,C. August 26th
The Men Who Ruled India: was written by__________?,A. Rousseau,B. Philip Mason,C. G. Allana,D. None of these,B. Philip Mason
Atlantic Wall is located in which country?,A. Spain,B. France,C. Croatia,D. Italy,B. France
“Hyde Park” London is renowned for?,A. Being residence of England’s foreign minister.,B. Beautiful red roses.,C. Liberty of speech,D. Unique design.,C. Liberty of speech
BECA stands for: __________?,A. Basic Exchange And Cooperation Agreement,B. Bilateral Engagement And Cooperation Agreement,C. Bilateral Engagement And Counter Arrangement,D. None of these,A. Basic Exchange And Cooperation Agreement
Warsaw is capital of_________?,A. Austria,B. Poland,C. Bulgaria,D. Sweden,B. Poland
International Day of UN Peacekeeper celebrated every year on ________?,A. 27 May,B. 28 May,C. 29 May,D. None of these,C. 29 May
Khartoum is the capital of__________?,A. Iraq,B. Iran,C. Yemen,D. Sudan,D. Sudan
Nouakchott is capital of__________?,A. spain,B. sweden,C. Mauritania,D. None of these,C. Mauritania
World Photography Day WPD observed each year on ___________?,A. 12th August,B. 17th August,C. 19th August,D. 22nd August,C. 19th August
Sonoran is a desert present in ____________?,A. China,B. Mexico,C. Australia,D. India,B. Mexico
How many Olympic medals has Pakistan won?,A. 12,B. 10,C. 8,D. 14,B. 10
How many countries in world start with “Q”?,A. 2,B. 1,C. 3,D. 0,B. 1
Basketball is the national game of the following country?,A. America,B. Canada,C. England,D. Lithuania,D. Lithuania
Larry O’Brien trophy is the famous championship of the following sport?,A. Volleyball,B. Basketball,C. Cricket,D. Football,B. Basketball
Naismith Memorial Basketball Hall of Fame is located in ?,A. New Zealand,B. America,C. England,D. France,B. America
Which of the following nation is considered founder of basketball?,A. England,B. Nigeria,C. Kenya,D. America,D. America
Which of the following personality is the founder of basketball?,A. James Naismith,B. Christ Lee,C. James Medison,D. None of these,A. James Naismith
Marib Dam is located in________?,A. Iran,B. Iraq,C. Yemen,D. Syria,C. Yemen
Mumbai stock exchange was established in_________?,A. 1875,B. 1948,C. 1870,,A. 1875
Who is the founder of telegram?,A. Yiming Zhang,B. Sundar Pichai,C. Pavel Durov,D. Even Speigal,C. Pavel Durov
When is world youth skills day observed?,A. July 14th,B. July 15th,C. July 16th,D. July 17th,B. July 15th
Length of Canada’s border with the United States is ________?,"A. 8, 891 KM","B. 7, 890 KM","C. 6, 7800 KM","D. 5, 600 KM","A. 8, 891 KM"
Who founded Judaism?,A. Prophet Muhammad PBUH,B. Jesus Christ,C. Abraham,D. None of these,C. Abraham
Surma is name of a _________?,A. Mountain,B. Desert,C. River,D. Island,C. River
Longest Railway line in the world is _________ ?,A. Trans Siberian Railway,B. New York Railway,C. Beijing Railway Network,D. None of these,A. Trans Siberian Railway
How many words are there in Russian language _____ ?,A. 10000,B. 100000,C. 150000,D. 350000,D. 350000
The weight of 5 rupee coin of Pakistan is ___________?,A. 5.00g,B. 5.50g,C. 6.00g,D. 5.50g,D. 5.50g
The State Great Khural is the parliament of which of the following country?,A. Sri Lanka,B. Nepal,C. Mongolia,D. South Africa,C. Mongolia
What is the name of parliament of Jordan?,A. Majlis Al-Umma,B. Majlis Al-Raees,C. Congress,D. None of the above,A. Majlis Al-Umma
Which of the following is the parliament of Burma?,A. Pyethic Hyltaw,B. Althing,C. Storting,D. None of the above,A. Pyethic Hyltaw
Majlis Mesyuarat is the parliament of which of the following country?,A. Iceland,B. Iran,C. Brunei,D. Qatar,C. Brunei
Parliament of Norway is known as:,A. Althing,B. Storting,C. Federal Assembly,D. Congress,B. Storting
Parliament of Oman is known as __________?,A. Consultative Assembly,B. National Assembly,C. National Congress,D. None of the above,A. Consultative Assembly
Masherbrum Peak is located in _______?,"A. Gilgit, GB","B. Skardu, GB","C. Ghanche, GB","D. Shigar, GB","C. Ghanche, GB"
What does Duff mean in golf?,A. A bad shot,B. A good shot,C. Winning shot,D. None of the above,A. A bad shot
Hitting the ball into the hole in one stroke in golf is called?,A. Eagle,B. Par,C. Ace,D. Birdie,C. Ace
"Par, Birdie, Eagle and Ace are famous terms of ____________ sport?",A. Basketball,B. Golf,C. Football,D. Cricket,B. Golf
What is the height of an ice hockey goal?,A. 40 inches,B. 44 inches,C. 48 inches,D. 52 inches,C. 48 inches
The width of an ice hockey goal is ________?,A. 70 inches,B. 72 inches,C. 74 inches,D. 76 inches,B. 72 inches
What is the length of an ice hockey stick?,A. 60 inches,B. 63 inches,C. 65 inches,D. 70 inches,B. 63 inches
There are _______ players in each team in Ice Hockey.,A. Six,B. Seven,C. Eight,D. Nine,A. Six
Stanley Cup is associated with which of the following sport?,A. Hockey,B. Ice Hockey,C. Football,D. None of the above,B. Ice Hockey
The Hockey Hall of Fame is located in _______?,A. Paris,B. New York,C. Toronto,D. Bern,C. Toronto
Which country invented Ice Hockey?,A. England,B. Canada,C. America,D. Pakistan,B. Canada
"Under the rules of golf, a golf ball has a mass no more than?",A. 1. 62 ounces,B. 1.65 ounces,C. 1.75 ounces,D. None of the above,A. 1. 62 ounces
What is the size of a golf hole?,A. 4.25 inches,B. 4.50 inches,C. 4.75 inches,D. 5 inches,A. 4.25 inches
Which of the following country invented golf?,A. England,B. Ireland,C. Canada,D. Scotland,D. Scotland
Antonio Guterres UN Secretary General also served as?,A. Head of University,B. President of Portugal,C. Prime minister of Portugal,D. Executive member of IMF,C. Prime minister of Portugal
How many planets are in our solar system?,A. 9,B. 8,C. 7,D. 5,B. 8
“Dum dum” International Airport is in__________?,A. Kolkata,B. England,C. Canada,D. None of these,A. Kolkata
The main administrative capital of the African Union is in:____________?,A. Sudan,B. South Africa,C. Egypt,D. Ethiopia,D. Ethiopia
North Korea invaded South Korea in the year?,A. 1947,B. 1948,C. 1949,D. 1950,D. 1950
Which country is considered as an original member of UN though it signed the charter later?,A. Poland,B. India,C. United States,D. None of these,A. Poland
How many delegates can each country sent to the UN General Assembly?,A. 7,B. 8,C. 5,D. None of these,C. 5
The Gulf War of 1991 was precipitated by Iraqi annexation of_______?,A. Saudi Arabia,B. Kuwait,C. Bahrain,D. None of these,B. Kuwait
Who was the first Secretary-General elected from the rankers staff of United Nations?,A. U Thant,B. Dr. Kurt Waldheim,C. Kofi Annan,D. Trygive Lie,C. Kofi Annan
The highest point of Africa is_________?,A. Mt. Kilimanjaro,B. Mt. Mc Kilney,C. Mt. Everest,D. None of these,A. Mt. Kilimanjaro
The Israeli Intelligence Community is made up of ______?,A. Aman,B. Mossad,C. Shin Bet,D. All of these,D. All of these
How many members are in the KNESSET (Legislative Body of Israel)?,A. 90,B. 120,C. 45,D. 60,B. 120
Where is the KNESSET’s Headquarter Located?,A. Washington DC,B. New York,C. California,D. Jerusalem,D. Jerusalem
Which Country is with most smartphone users ?,A. U.S.A,B. India,C. China,D. Canada,C. China
Which mughal ruler was modern to queen Elizabeth?,A. Shahjan,B. Hummyoun,C. Akbar,D. None of these,C. Akbar
Which of the following is known as “The Loneliest Point on Earth”?,A. Point El Salvador,B. Point Bermuda,C. Point Nemo,D. Point Lonely,C. Point Nemo
The Mekran medical college is located in __________?,A. Turbat,B. Quetta,C. Gawadar,D. None of these,A. Turbat
Which of the following is world’s Longest and deepest tunnel and was opened in Switzerland in 2016.,A. Sheikan Tunnel,B. Gotthard tunnel,C. Eurotunnel,D. New guanjiao tunnel,B. Gotthard tunnel
Chaqchan Mosque is located in __________?,"A. Skardu, Gilgit Baltistan","B. Khaplu, Gilgit Baltistan","C. Kharmang, Gilgit Baltistan","D. Shigar, Gilgit Baltistan","B. Khaplu, Gilgit Baltistan"
Which is Salty lake in Sindh?,A. Keenjhar,B. Haleji Lake,C. Manchhar,D. Hub Lake,B. Haleji Lake
The Book “Jinnah to Modi” was written by?,A. Richard Nixon,B. Spengler,C. Kuldeep Nayyar,D. None of these,C. Kuldeep Nayyar
Who was the first transgender Olympian weightlifter?,A. Caster Semenya,B. Laurel Hubbard,C. Veronica Ivy,D. Michelle Duff,B. Laurel Hubbard
TikTok was created by which social media billionaire?,A. Yuan,B. John Austin,C. Zhang Yiming,D. None of these,C. Zhang Yiming
Yuan Longping belongs to which country?,A. Brazil,B. China,C. India,D. Bangladesh,B. China
Bicycle was invented in 1817 by ?,A. Robert Alberta,B. Mac Milan,C. Roger Blair,D. Karl von Drais,D. Karl von Drais
Ammunition of Muslim League is a name taken by which university ?,A. Punjab university,B. Islamia college Peshawar,C. Aligarh University,D. None of these,C. Aligarh University
Moorish kingdom of Grenada ( Spain ) surrendered to Christians in ?,A. 712 AD,B. 1050 AD,C. 1492 AD,D. 1757 AD,C. 1492 AD
Which country has the freshest water in world ?,A. Chile,B. Russia,C. Switzerland,D. Nepal,C. Switzerland
The famous waterfall ” Igauzu” is located at border of which two countries ?,A. USA & Canada,B. USA & Brazil,C. Brazil & Uruguay,D. Brazil & Argentina,D. Brazil & Argentina
The El Valle De La Luna ( Valley of the moon ) is located in which desert ?,A. Atacama Desert ( Chile ),B. Sahara Desert ( Africa ),C. Sandy Desert ( Australia ),D. Gobi Desert ( Mangolia),A. Atacama Desert ( Chile )
The Highest cold desert ” Katpana desert ” is located in ?,A. China,B. Pakistan,C. Nepal,D. India,B. Pakistan
Which battle allowed Babur to defeat Ibrahim Lodhi and capture Delhi in 1526 ?,A. 1st Battle of panipat,B. 2nd Battle of panipat,C. 3rd Battle of panipat,D. Battle of waterloo,A. 1st Battle of panipat
Muhammad Ghauri defeated Prithviraj Chauhan in the 2nd Battle of Tarain in which year ?,A. 1191 AD,B. 1192 AD,C. 1196 AD,D. 1197 AD,B. 1192 AD
Annapurna peak is located in which country?,A. UK,B. China,C. West-indies,D. Nepal,D. Nepal
In which country can the military personnel also contest elections?,A. Myanmar,B. Egypt,C. Hong Kong,D. China,B. Egypt
First country to ban complete “Deforestation” is ?,A. Australia,B. Sweden,C. Norway,D. Denmark,C. Norway
Minar-E-Pakistan was designed by which Russian born Pakistani architect?,A. Nasreddin Murat-Khan TI,B. Vedat Dalokay,C. Arif Masoud,D. Yahya Merchant,A. Nasreddin Murat-Khan TI
Who got the title of ” Father of education” in Muslims of subcontinent?,A. Quaid-e-Azam,B. Allama Iqbal,C. Sir Syed Ahmad khan,D. None of these,C. Sir Syed Ahmad khan
Brandenburg Gate is located in ___________?,A. Italy,B. Germany,C. Russia,D. None of these,B. Germany
Wellington Arch is located in ____________?,A. New Zealand,B. England,C. Australia,D. None of these,B. England
Green Park is located in ___________?,A. Cuba,B. England,C. Poland,D. Germany,B. England
Canada Gate is in ___________?,A. Canada,B. England,C. USA,D. France,B. England
Which Country have water proof currency?,A. Iranian,B. Asian,C. African,D. Australian,D. Australian
What is secret agency of Israel?,A. CIA,B. MOSSAD,C. RAW,D. ASIS,B. MOSSAD
What is  the oval office?,A. FIFA Headquarter,B. International cricket council office in dubai,C. The personal office of US president,D. None of these,C. The personal office of US president
On which date U.S. purchased Alaska state from Russia ?,"A. 18 Oct, 1867","B. 30 Mar, 1867","C. 12 Dec, 1867",D. None of these,"B. 30 Mar, 1867"
Which university become the first Pakistan university to start a PhD programme on Seerat-ul-Nabi(SAW)?,A. Sargodha University,B. Liaquat Universit,C. Sindh University,D. Punjab University,A. Sargodha University
TransPeshawar BRT system consist of how many stations ?,A. 26,B. 28,C. 30,D. 32,D. 32
The oldest Engineering university of Pakistan is ____________?,A. National University of science & technology,B.,C. University Engineering & technology taxila,D. None of these,B.
First person in the world to receive Pfizer Covid-19 vaccine is from?,A. USA,B. UK,C. France,D. Russia,B. UK
Aksai chin is between which two countries?,A. Pakistan and India,B. China and India,C. Pakistan and Iran,D. China and Pakistan,B. China and India
Which city of Pakistan is called  “City of Schools”.,A. Haripur,B. Kohistan,C. Abbottabad,D. Mansehra,C. Abbottabad
Which nation is also referred as “The Land of Flying Fish” ?,A. Barbados,B. Guyana,C. Finland,D. Jamaica,A. Barbados
When was the right to vote given to women in Switzerland?,A. 1935,B. 1950,C. 1965,D. 1971,D. 1971
Which air line won the best award 2020?,A. New Zealand,B. Canada,C. America,D. Japan,A. New Zealand
Oslo agreements in 1993 were signed between?,"A. Azerbaijan , Russia","B. Israel , Palestine","C. Iran , USA",D. None of these,"B. Israel , Palestine"
"On every 10 December, the Noble peace prize is awarded in?",A. USA,B. Norway,C. Rome,D. None of these,B. Norway
"Kaliningrad border lies with lithuania and Poland, that territory belongs to which country?",A. Poland,B. Lithuania,C. Russia,D. None of these,C. Russia
Cod wars were fought between?,"A. UK , Iceland","B. Norway , Iceland","C. Sweden , Denmark",D. None of these,"A. UK , Iceland"
"Marti Ahtsari received Noble peace prize in 2008, for his efforts to resolve international conflicts, belongs to which country?",A. Finland,B. Norway,C. Sweden,D. None of these,A. Finland
77% land area of Russia is located in?,A. Asia,B. Europe,C. Both,D. None of these,A. Asia
Russia is located in which two continents?,"A. Asia , Europe","B. Europe , Africa","C. Asia , America",D. None of these,"A. Asia , Europe"
"Obama’s book, “A Promised Land” came out on ______________?",A.  15 November,B.  16 November,C.  17 November,D.  18 November,C.  17 November
"“Becoming”, the biography written by?",A. Henry Clinton,B. Indira Gandhi,C. Michelle Obama,D. Melania Trump,C. Michelle Obama
Current Era of Geological Time Scale is _____________?,A. Paleozoic,B. Mesozoic,C. Holocene,D. None of these,C. Holocene
“Zulfi My Friend” is a book written by?,A. Z A Bhutto,B. M K Gandhi,C. K K Aziz,D. Piloo Mody,D. Piloo Mody
Which book is entitled as “Bible of Communism”?,A. Das Kapital,B. War and Peace,C. Communist Manifesto,D. None of these,A. Das Kapital
“Higher than Hopes” (by Fatima Meer) is the biography of?,A. Mother Teresa,B. Nelson Mandela,C. Liaqat Ali Khan,D. Sir Agha khan,B. Nelson Mandela
The Novel “Sword of Tipu Sultan” was written by?,A. K. M Munshi,B. B. S. Gidwani,C. Leo Tolstoy,D. None of these,B. B. S. Gidwani
“Dalal Street” is located in which country?,A. Pakistan,B. India,C. China,D. None of these,B. India
Brexit referendum was held on?,A. 2015,B. 2016,C. 2017,D. 2020,B. 2016
Suez Canal convention was held in which year?,A. 1887,B. 1888,C. 1889,D. None of these,B. 1888
Under which treaty did the British recognize the independence of 13 American colonies?,A. Brussels Treaty,B. Treaty of Paris,C. Geneva Convention,D. Treaty of Versailles,B. Treaty of Paris
Who is the Author of “Warrior Race: A Journey Through the Land of the Tribal Pathans”?,A. Imran Khan,B. Ishaq Dar,C. Waseem Akram,D. Perviaz Mushraf,A. Imran Khan
When was west Germany admitted as a member of NATO?,"A. 9 May, 1954","B. 9 May, 1955","C. 9 May, 1956","D. 9 May, 1960","B. 9 May, 1955"
Vietnam joined the UN in the year?,A. 1977,B. 1976,C. 1980,D. None of these,A. 1977
UN adopted the charter of Economic Rights and duties of states in the year?,A. 1975,B. 1973,C. 1980,D. 1974,D. 1974
International Court of Justice was established in the year?,A. 1946,B. 1945,C. 1947,D. None of above,B. 1945
NPT was entered into force in the year?,A. 1972,B. 1970,C. 1980,D. None of these,B. 1970
Vladimir Lenin died in _______________?,A. 1922,B. 1924,C. 1925,D. 1929,B. 1924
Which is world’s most high budget movie?,A. Avatar,B. Lord Of Rings,C. Pirates of Carribean,D. None of above,C. Pirates of Carribean
What is the national bird of US?,A. Cat,B. Baribian camal,C. Bald eagle,D. horse,C. Bald eagle
The present constitution of France is also known as?,A. Constitution of Fourth Republic,B. Constitution of Third Republic,C. Constitution of Fifth Republic,D. None of these,C. Constitution of Fifth Republic
Who is known as first black woman senator in US history?,A. Moseley-Braun,B. Ilhan Omar,C. Kamala Harris,D. None of these,A. Moseley-Braun
Which country opens first Islamic school for transgender persons?,A. Pakistan,B. Afghanistan,C. Bangladesh,D. Iraq,C. Bangladesh
The ratio between land & oceans by area is ____________.,A. 80.2% & 19.8%,B. 59% & 41%,C. 70.8% & 29.2%,D. 61% & 29%,C. 70.8% & 29.2%
